,date,account_value
826,2021-04-15,1745470.6370647808
827,2021-04-16,1754817.6112163921
828,2021-04-19,1742544.1404674908
829,2021-04-20,1750001.9494598766
830,2021-04-21,1758447.2770299679
831,2021-04-22,1739075.6073179012
832,2021-04-23,1763757.0462369686
833,2021-04-26,1751729.6487664944
834,2021-04-27,1760410.64765451
835,2021-04-28,1754759.5839814907
836,2021-04-29,1778463.8457383877
837,2021-04-30,1762784.1356916195
838,2021-05-03,1792670.0456571346
839,2021-05-04,1800952.980872131
840,2021-05-05,1811536.4628209835
841,2021-05-06,1824870.5406598812
842,2021-05-07,1840159.5316991573
843,2021-05-10,1834654.861540771
844,2021-05-11,1806281.9656614529
845,2021-05-12,1763998.1536129902
846,2021-05-13,1788950.9563082645
847,2021-05-14,1807368.3599223087
848,2021-05-17,1803210.633770701
849,2021-05-18,1792205.8763892618
850,2021-05-19,1788084.268243548
851,2021-05-20,1797955.86768603
852,2021-05-21,1810747.0455157724
853,2021-05-24,1819728.555692431
854,2021-05-25,1821652.8718631235
855,2021-05-26,1821108.4443833795
856,2021-05-27,1828800.986460444
857,2021-05-28,1832361.9824235407
858,2021-06-01,1822422.7139346567
859,2021-06-02,1827076.589188334
860,2021-06-03,1831730.0140988794
861,2021-06-04,1835457.1882836786
862,2021-06-07,1827492.4218108621
863,2021-06-08,1821886.8173367945
864,2021-06-09,1807328.1857945886
865,2021-06-10,1803155.40989947
866,2021-06-11,1809744.4683454004
867,2021-06-14,1804603.0768706766
868,2021-06-15,1808144.701599833
869,2021-06-16,1789062.3015153375
870,2021-06-17,1789065.7402627436
871,2021-06-18,1767560.370224711
872,2021-06-21,1795969.8831155268
873,2021-06-22,1808703.6349961725
874,2021-06-23,1802403.5184848276
875,2021-06-24,1814971.7163617578
876,2021-06-25,1816210.4439227548
877,2021-06-28,1826881.8414790598
878,2021-06-29,1827234.367715594
879,2021-06-30,1833825.3826339212
880,2021-07-01,1843118.8547408548
881,2021-07-02,1859760.2777469126
882,2021-07-06,1853753.6099336115
883,2021-07-07,1860109.1674315897
884,2021-07-08,1840689.9758365122
885,2021-07-09,1859205.9180552927
